,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
321,81.613.358/0001-91,de 4.800.000 até 10.000.000,de 50 até 100,0,-
322,84.429.869/0003-08,de 4.800.000 até 10.000.000,de 100 até 500,33,"29.670.181,78"
323,02.288.420/0001-40,de 10.000.000 até 30.000.000,de 50 até 100,13,"5.813.873,88"
324,79.925.442/0001-07,de 30.000.000 até 100.000.000,de 50 até 100,0,-
325,21.072.618/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,?,
326,07.215.271/0001-03,de 30.000.000 até 100.000.000,de 100 até 500,0,-
327,10.693.693/0001-07,de 100.000.000 até 300.000.000,de 50 até 100,0,-
328,83.938.985/0001-28,de 4.800.000 até 10.000.000,de 50 até 100,0,-
329,80.456.817/0001-08,de 1.500.000 até 4.800.000,de 10 até 50,0,-
330,03.186.880/0001-20,de 30.000.000 até 100.000.000,de 100 até 500,35,"5.320.266,07"
331,79.888.749/0001-77,de 4.800.000 até 10.000.000,de 100 até 500,0,-
332,13.107.569/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,0,-
333,05.404.612/0001-63,de 1.500.000 até 4.800.000,de 10 até 50,0,-
334,16.915.998/0001-94,de 1.500.000 até 4.800.000,de 10 até 50,0,-
335,08.266.046/0001-69,de 10.000.000 até 30.000.000,de 100 até 500,0,-
336,88.887.195/0001-84,de 1.500.000 até 4.800.000,de 10 até 50,4,"4.281,72"
337,11.427.238/0001-14,de 4.800.000 até 10.000.000,de 50 até 100,0,-
338,10.938.117/0001-74,de 81.000 até 360.000,de 10 até 50,47,"2.805.240,25"
339,62.848.577/0001-05,de 30.000.000 até 100.000.000,de 100 até 500,0,-
340,81.589.327/0001-42,de 30.000.000 até 100.000.000,de 100 até 500,0,-
341,00.993.068/0001-19,de 1.500.000 até 4.800.000,de 10 até 50,0,-
342,73.289.050/0001-04,de 1.500.000 até 4.800.000,de 100 até 500,894,"32.675.667,79"
343,19.442.650/0001-15,de 10.000.000 até 30.000.000,de 50 até 100,0,-
344,81.585.671/0001-63,de 10.000.000 até 30.000.000,de 100 até 500,0,-
345,72.195.324/0001-33,de 10.000.000 até 30.000.000,de 100 até 500,0,-
346,76.865.377/0001-75,de 1.500.000 até 4.800.000,de 10 até 50,0,-
347,03.913.786/0001-26,de 30.000.000 até 100.000.000,de 100 até 500,250,"2.132.414,41"
348,74.183.500/0001-42,de 30.000.000 até 100.000.000,de 50 até 100,0,-
349,84.683.671/0001-94,de 100.000.000 até 300.000.000,acima de 500,11,"3.295.408,88"
350,12.546.470/0001-34,de 30.000.000 até 100.000.000,de 100 até 500,0,-
351,00.218.077/0001-32,de 1.500.000 até 4.800.000,de 100 até 500,460,"2.958.121,30"
352,11.090.009/0001-57,de 30.000.000 até 100.000.000,de 50 até 100,0,-
353,05.140.658/0001-12,de 81.000 até 360.000,de 10 até 50,27,"410.433,15"
354,11.283.620/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,10,"38.387,59"
355,04.895.202/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,0,-
356,02.393.313/0001-82,de 10.000.000 até 30.000.000,de 100 até 500,0,-
357,04.168.163/0001-39,de 0 até 81.000,de 100 até 500,1,"2.800,00"
358,00.327.921/0001-63,de 10.000.000 até 30.000.000,de 50 até 100,0,-
359,10.554.919/0001-80,de 10.000.000 até 30.000.000,de 50 até 100,0,-
360,94.132.826/0001-58,de 1.500.000 até 4.800.000,de 100 até 500,3,"1.340.532,25"
361,07.182.774/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,0,-
362,81.872.236/0001-10,de 10.000.000 até 30.000.000,de 50 até 100,0,-
363,83.038.547/0001-03,de 10.000.000 até 30.000.000,de 100 até 500,0,-
364,05.974.479/0001-80,de 4.800.000 até 10.000.000,de 50 até 100,0,-
365,09.056.083/0001-05,de 4.800.000 até 10.000.000,de 100 até 500,215,"6.071.507,50"
366,02.591.957/0001-85,de 10.000.000 até 30.000.000,de 50 até 100,6,"3.359.968,71"
367,85.221.083/0001-00,de 81.000 até 360.000,de 10 até 50,0,-
368,07.292.446/0001-86,de 30.000.000 até 100.000.000,de 100 até 500,0,-
369,10.438.054/0001-97,de 360.000 até 1.500.000,de 0 até 5,0,-
370,07.432.397/0001-30,de 10.000.000 até 30.000.000,de 100 até 500,?,
371,86.046.612/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,32,"84.167,82"
372,72.344.591/0001-25,de 100.000.000 até 300.000.000,de 100 até 500,0,-
373,75.344.937/0001-83,de 10.000.000 até 30.000.000,de 50 até 100,0,-
374,86.713.336/0001-17,de 10.000.000 até 30.000.000,de 50 até 100,0,-
375,79.905.436/0001-80,de 100.000.000 até 300.000.000,de 100 até 500,0,-
376,78.002.037/0001-46,de 30.000.000 até 100.000.000,de 100 até 500,0,-
377,00.202.187/0001-06,de 30.000.000 até 100.000.000,de 100 até 500,0,-
378,05.096.500/0001-92,de 81.000 até 360.000,de 10 até 50,0,-
379,82.698.085/0001-98,de 100.000.000 até 300.000.000,de 100 até 500,0,-
380,84.683.515/0001-23,de 10.000.000 até 30.000.000,de 100 até 500,3,"1.603,56"
381,79.120.739/0001-97,de 30.000.000 até 100.000.000,de 50 até 100,37,"884.079,68"
382,07.973.104/0001-21,de 4.800.000 até 10.000.000,de 50 até 100,0,-
383,79.683.330/0001-89,de 10.000.000 até 30.000.000,de 100 até 500,85,"9.348.348,42"
384,06.134.049/0001-13,de 10.000.000 até 30.000.000,de 100 até 500,?,
385,07.123.659/0001-84,de 360.000 até 1.500.000,de 10 até 50,?,
386,02.237.016/0001-48,de 30.000.000 até 100.000.000,de 100 até 500,0,-
387,04.826.813/0001-96,de 4.800.000 até 10.000.000,de 10 até 50,268,"946.995,33"
388,15.644.488/0001-67,de 10.000.000 até 30.000.000,de 10 até 50,0,-
389,10.590.774/0001-73,de 1.500.000 até 4.800.000,acima de 500,0,-
390,84.692.268/0001-21,de 360.000 até 1.500.000,de 10 até 50,0,-
391,10.619.295/0001-32,de 81.000 até 360.000,de 5 até 10,10,"500.536,51"
392,79.843.264/0001-67,de 4.800.000 até 10.000.000,de 100 até 500,0,-
393,95.813.382/0001-89,de 4.800.000 até 10.000.000,de 50 até 100,?,
394,07.688.318/0001-56,de 10.000.000 até 30.000.000,de 50 até 100,0,-
395,75.304.766/0001-69,de 30.000.000 até 100.000.000,de 100 até 500,0,-
396,11.135.121/0001-67,de 0 até 81.000,de 100 até 500,231,"5.323.449,04"
397,85.907.210/0001-10,de 4.800.000 até 10.000.000,de 100 até 500,71,"26.818.759,25"
398,85.342.780/0001-00,de 30.000.000 até 100.000.000,de 50 até 100,0,-
399,83.193.797/0001-18,de 1.500.000 até 4.800.000,de 10 até 50,?,
400,02.535.948/0001-77,de 360.000 até 1.500.000,de 5 até 10,?,
401,01.167.639/0001-29,de 30.000.000 até 100.000.000,de 100 até 500,0,-
402,81.336.398/0001-33,de 30.000.000 até 100.000.000,de 100 até 500,0,-
403,17.701.407/0001-49,de 10.000.000 até 30.000.000,de 50 até 100,0,-
404,01.423.807/0001-08,de 4.800.000 até 10.000.000,de 50 até 100,0,-
405,04.369.606/0001-50,de 1.500.000 até 4.800.000,de 10 até 50,508,"5.186.303,34"
406,24.418.900/0001-11,de 30.000.000 até 100.000.000,de 50 até 100,0,-
407,08.762.826/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,0,-
408,02.742.731/0001-38,de 10.000.000 até 30.000.000,de 100 até 500,26,"13.528.652,35"
409,19.568.004/0001-07,de 1.500.000 até 4.800.000,de 10 até 50,163,"337.646,36"
410,05.108.435/0001-78,de 30.000.000 até 100.000.000,de 100 até 500,0,-
411,86.376.217/0001-16,de 4.800.000 até 10.000.000,de 100 até 500,31,"4.938.125,81"
412,79.014.809/0001-22,de 10.000.000 até 30.000.000,de 100 até 500,0,-
413,03.033.392/0001-83,de 1.500.000 até 4.800.000,de 10 até 50,0,-
414,85.236.743/0001-18,de 30.000.000 até 100.000.000,de 50 até 100,1,-
415,81.000.580/0001-19,de 30.000.000 até 100.000.000,de 100 até 500,0,-
416,00.637.261/0001-17,de 30.000.000 até 100.000.000,de 100 até 500,1,"1.021,00"
417,75.290.619/0001-87,de 81.000 até 360.000,de 50 até 100,0,-
418,84.298.900/0001-57,de 100.000.000 até 300.000.000,de 100 até 500,0,-
419,79.941.894/0001-74,de 100.000.000 até 300.000.000,de 100 até 500,0,-
420,02.396.670/0001-02,de 1.500.000 até 4.800.000,de 100 até 500,164,"366.093,54"
421,83.162.164/0001-42,de 360.000 até 1.500.000,de 5 até 10,?,
422,80.448.574/0001-66,de 10.000.000 até 30.000.000,de 50 até 100,85,"849.077,83"
423,10.298.238/0001-07,de 1.500.000 até 4.800.000,de 10 até 50,0,-
424,85.099.034/0001-38,de 4.800.000 até 10.000.000,de 100 até 500,0,-
425,02.279.154/0001-90,de 360.000 até 1.500.000,de 10 até 50,0,-
426,81.315.426/0001-36,acima de 1.000.000.000,de 100 até 500,0,-
427,17.179.941/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,81,"3.586.459,14"
428,01.242.532/0001-06,de 4.800.000 até 10.000.000,de 10 até 50,110,"716.843,98"
429,10.556.018/0001-28,de 100.000.000 até 300.000.000,de 100 até 500,0,-
430,02.017.191/0001-20,de 360.000 até 1.500.000,de 100 até 500,8,"28.389,49"
431,04.432.327/0001-93,de 100.000.000 até 300.000.000,de 100 até 500,0,-
432,04.647.957/0001-85,de 10.000.000 até 30.000.000,de 10 até 50,0,-
433,86.375.656/0001-04,de 10.000.000 até 30.000.000,de 100 até 500,0,-
434,04.565.361/0001-36,de 100.000.000 até 300.000.000,de 100 até 500,1,"627,62"
435,83.872.549/0001-01,de 1.500.000 até 4.800.000,de 10 até 50,100,"380.475,82"
436,79.530.408/0001-25,de 360.000 até 1.500.000,de 10 até 50,0,-
437,02.355.505/0001-02,de 30.000.000 até 100.000.000,de 50 até 100,19,"1.535.129,91"
438,20.121.981/0001-32,de 4.800.000 até 10.000.000,de 100 até 500,0,-
439,19.622.616/0001-22,de 10.000.000 até 30.000.000,de 50 até 100,0,-
440,85.129.518/0001-82,de 30.000.000 até 100.000.000,de 100 até 500,0,-
441,83.875.120/0001-60,,,,
442,80.940.745/0001-70,de 1.500.000 até 4.800.000,de 10 até 50,0,-
443,05.314.170/0001-64,de 1.500.000 até 4.800.000,de 10 até 50,0,-
444,93.085.330/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,682,"6.264.405,25"
445,17.891.394/0001-18,de 1.500.000 até 4.800.000,de 10 até 50,0,-
446,14.985.672/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,352,"1.540.543,97"
447,11.635.696/0001-49,de 81.000 até 360.000,de 10 até 50,?,
448,79.941.506/0001-55,de 10.000.000 até 30.000.000,de 100 até 500,0,-
449,05.619.231/0001-00,de 4.800.000 até 10.000.000,de 100 até 500,0,-
450,08.474.768/0001-09,de 30.000.000 até 100.000.000,de 100 até 500,0,-
451,85.203.602/0001-07,de 10.000.000 até 30.000.000,de 100 até 500,369,"2.215.300,47"
452,80.742.109/0001-33,de 1.500.000 até 4.800.000,de 10 até 50,0,-
453,85.150.613/0001-68,de 100.000.000 até 300.000.000,de 100 até 500,1,"163,47"
454,20.316.164/0001-30,de 4.800.000 até 10.000.000,de 50 até 100,?,
455,02.799.943/0001-51,de 81.000 até 360.000,de 0 até 5,?,
456,05.423.994/0001-72,de 10.000.000 até 30.000.000,de 100 até 500,52,"19.701.778,64"
457,83.560.763/0001-14,de 1.500.000 até 4.800.000,de 50 até 100,66,"1.309.502,31"
458,84.430.149/0001-09,de 10.000.000 até 30.000.000,de 100 até 500,0,-
459,72.170.392/0001-48,de 4.800.000 até 10.000.000,de 100 até 500,0,-
460,04.906.823/0001-31,de 1.500.000 até 4.800.000,de 10 até 50,0,-
461,78.855.186/0001-58,de 4.800.000 até 10.000.000,de 50 até 100,0,-
462,84.431.352/0001-91,de 30.000.000 até 100.000.000,de 100 até 500,0,-
463,82.120.460/0001-18,de 30.000.000 até 100.000.000,de 100 até 500,0,-
464,07.045.624/0001-74,de 1.500.000 até 4.800.000,de 10 até 50,0,-
465,00.425.457/0001-48,de 30.000.000 até 100.000.000,de 100 até 500,0,-
466,08.866.500/0001-12,de 1.500.000 até 4.800.000,de 10 até 50,62,"5.268.881,66"
467,79.949.202/0001-34,de 10.000.000 até 30.000.000,de 100 até 500,0,-
468,11.391.271/0001-31,de 1.500.000 até 4.800.000,de 10 até 50,?,
469,02.484.960/0001-08,de 4.800.000 até 10.000.000,de 100 até 500,88,"652.321,06"
470,02.580.492/0001-67,de 1.500.000 até 4.800.000,de 50 até 100,55,"1.231.529,27"
471,08.304.710/0001-17,de 0 até 81.000,de 10 até 50,1,"99,20"
472,80.933.039/0001-09,de 1.500.000 até 4.800.000,de 10 até 50,119,"169.673,28"
473,95.803.375/0001-04,de 10.000.000 até 30.000.000,de 100 até 500,0,-
474,09.042.430/0001-40,de 1.500.000 até 4.800.000,de 10 até 50,22,"349.601,13"
475,09.261.750/0001-91,de 10.000.000 até 30.000.000,de 100 até 500,0,-
476,01.133.434/0001-22,de 81.000 até 360.000,de 10 até 50,6,"489.710,88"
477,06.005.521/0001-18,de 10.000.000 até 30.000.000,acima de 500,56,"1.893.845,37"
478,76.541.317/0001-05,de 30.000.000 até 100.000.000,de 100 até 500,0,-
479,06.079.036/0001-99,de 10.000.000 até 30.000.000,de 100 até 500,0,-
480,00.214.242/0001-88,de 10.000.000 até 30.000.000,de 100 até 500,0,-
481,11.209.849/0001-96,de 360.000 até 1.500.000,de 5 até 10,?,
482,07.097.396/0001-86,de 1.500.000 até 4.800.000,de 10 até 50,0,-
483,00.249.452/0001-01,de 4.800.000 até 10.000.000,de 50 até 100,0,-
484,07.229.006/0001-84,de 10.000.000 até 30.000.000,de 100 até 500,1,"71.355,41"
485,86.046.810/0001-02,de 10.000.000 até 30.000.000,de 100 até 500,98,"1.660.255,83"
486,05.455.435/0001-44,de 10.000.000 até 30.000.000,de 10 até 50,?,
487,17.612.442/0001-91,de 81.000 até 360.000,de 10 até 50,0,-
488,81.834.665/0001-00,de 0 até 81.000,de 10 até 50,325,"1.128.273,90"
489,09.483.391/0001-17,de 81.000 até 360.000,de 10 até 50,170,"853.343,78"
490,08.490.282/0001-64,de 1.500.000 até 4.800.000,de 10 até 50,7,"1.059.130,98"
491,80.438.542/0001-80,de 1.500.000 até 4.800.000,de 10 até 50,?,
492,01.820.799/0001-25,de 1.500.000 até 4.800.000,de 10 até 50,7,"2.057.114,58"
493,82.951.435/0001-86,de 360.000 até 1.500.000,de 10 até 50,?,
494,73.702.771/0001-02,de 30.000.000 até 100.000.000,de 100 até 500,?,-
495,80.705.700/0001-10,de 10.000.000 até 30.000.000,de 100 até 500,17,"99.262,80"
496,84.685.056/0001-17,de 30.000.000 até 100.000.000,de 100 até 500,0,-
497,02.548.987/0001-09,de 10.000.000 até 30.000.000,de 50 até 100,9,"2.881.856,16"
498,07.885.290/0001-47,de 1.500.000 até 4.800.000,de 100 até 500,54,"2.178.766,86"
499,08.643.573/0001-45,de 81.000 até 360.000,de 10 até 50,?,
500,05.013.478/0001-70,de 360.000 até 1.500.000,de 10 até 50,0,-
501,85.720.290/0001-09,de 30.000.000 até 100.000.000,de 100 até 500,0,-
502,91.044.354/0001-93,de 10.000.000 até 30.000.000,de 100 até 500,490,"7.414.074,70"
503,85.210.532/0001-06,de 1.500.000 até 4.800.000,de 10 até 50,?,
504,18.034.057/0001-77,de 10.000.000 até 30.000.000,de 50 até 100,4,"1.944.735,41"
505,04.197.550/0001-01,de 1.500.000 até 4.800.000,de 10 até 50,12,"821.603,02"
506,81.798.548/0001-20,de 1.500.000 até 4.800.000,de 100 até 500,0,-
507,04.586.600/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,0,-
508,02.091.058/0001-13,de 81.000 até 360.000,de 0 até 5,?,
509,09.106.695/0001-65,de 81.000 até 360.000,de 10 até 50,0,-
510,01.214.548/0001-05,de 1.500.000 até 4.800.000,de 10 até 50,0,-
511,15.523.239/0001-13,de 4.800.000 até 10.000.000,de 50 até 100,294,"4.436.107,61"
512,00.263.313/0001-32,de 1.500.000 até 4.800.000,de 50 até 100,0,-
513,94.623.907/0001-50,de 1.500.000 até 4.800.000,de 10 até 50,15,"540.506,68"
514,11.619.817/0001-69,de 0 até 81.000,de 10 até 50,245,"4.648.997,75"
515,04.531.177/0001-75,de 30.000.000 até 100.000.000,de 100 até 500,0,-
516,75.409.201/0001-46,de 4.800.000 até 10.000.000,de 50 até 100,266,"3.274.346,41"
517,83.017.061/0001-99,de 10.000.000 até 30.000.000,de 100 até 500,?,
518,75.843.599/0001-24,de 10.000.000 até 30.000.000,de 50 até 100,0,-
519,15.463.200/0001-58,de 10.000.000 até 30.000.000,de 50 até 100,217,"4.170.702,50"
520,10.193.734/0001-98,acima de 1.000.000.000,de 100 até 500,0,-
521,75.277.525/0001-78,de 4.800.000 até 10.000.000,de 100 até 500,0,-
522,80.228.190/0001-38,de 10.000.000 até 30.000.000,de 100 até 500,75,"148.472,86"
523,00.715.583/0001-37,de 10.000.000 até 30.000.000,de 100 até 500,36,"4.612.366,65"
524,04.580.018/0001-60,de 81.000 até 360.000,de 10 até 50,140,"2.822.155,61"
525,11.495.016/0001-39,de 81.000 até 360.000,de 10 até 50,?,
526,00.716.481/0001-36,de 1.500.000 até 4.800.000,de 10 até 50,0,-
527,01.669.730/0001-42,de 30.000.000 até 100.000.000,de 100 até 500,2,"185.924,28"
528,03.527.217/0001-42,de 1.500.000 até 4.800.000,de 10 até 50,64,-
529,89.085.310/0001-60,de 10.000.000 até 30.000.000,de 100 até 500,5,"722.493,97"
530,00.101.599/0001-50,de 0 até 81.000,de 10 até 50,119,"369.930,85"
531,04.656.940/0001-94,de 1.500.000 até 4.800.000,de 10 até 50,?,
532,09.154.984/0001-30,de 4.800.000 até 10.000.000,de 50 até 100,1,"4.613.907,90"
533,00.277.957/0001-80,de 360.000 até 1.500.000,de 10 até 50,0,-
534,75.394.502/0001-43,de 30.000.000 até 100.000.000,de 100 até 500,0,-
535,00.147.109/0001-56,de 10.000.000 até 30.000.000,de 100 até 500,0,-
536,03.391.986/0001-66,de 30.000.000 até 100.000.000,de 100 até 500,1,"555.639,01"
537,01.867.652/0001-90,de 1.500.000 até 4.800.000,de 10 até 50,?,
538,16.707.463/0001-28,de 4.800.000 até 10.000.000,de 50 até 100,151,"427.058,48"
539,82.753.674/0001-21,de 10.000.000 até 30.000.000,acima de 500,42,"4.427.741,37"
540,10.243.692/0001-52,de 10.000.000 até 30.000.000,de 50 até 100,0,-
541,83.779.942/0001-47,de 10.000.000 até 30.000.000,de 100 até 500,155,"5.658.333,34"
542,04.997.181/0001-23,de 4.800.000 até 10.000.000,de 50 até 100,0,-
543,00.583.345/0001-15,de 10.000.000 até 30.000.000,de 100 até 500,0,-
544,82.643.255/0001-37,de 10.000.000 até 30.000.000,de 100 até 500,0,-
545,06.042.259/0001-81,de 4.800.000 até 10.000.000,de 50 até 100,0,-
546,05.120.289/0001-04,de 30.000.000 até 100.000.000,de 100 até 500,0,-
547,02.554.179/0001-54,de 4.800.000 até 10.000.000,de 100 até 500,377,"2.080.666,82"
548,04.346.278/0001-76,de 30.000.000 até 100.000.000,de 50 até 100,7,"21.939.126,76"
549,02.290.876/0001-45,de 10.000.000 até 30.000.000,de 50 até 100,18,"915.383,36"
550,03.483.185/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,0,-
551,06.251.628/0001-46,de 4.800.000 até 10.000.000,de 50 até 100,5,"7.997,53"
552,04.427.774/0001-54,de 81.000 até 360.000,de 10 até 50,84,"301.622,02"
553,13.987.350/0001-35,de 100.000.000 até 300.000.000,de 100 até 500,0,-
554,85.134.096/0001-33,de 1.500.000 até 4.800.000,de 50 até 100,0,-
555,25.510.746/0001-76,de 81.000 até 360.000,de 10 até 50,?,
556,07.646.232/0001-60,de 4.800.000 até 10.000.000,de 50 até 100,0,-
557,17.322.957/0001-57,de 4.800.000 até 10.000.000,de 50 até 100,0,-
558,85.498.269/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,10,"4.937.619,46"
559,00.282.717/0001-73,de 30.000.000 até 100.000.000,de 50 até 100,0,-
560,13.408.823/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-
561,13.913.242/0001-18,de 4.800.000 até 10.000.000,de 100 até 500,?,
562,09.574.015/0001-38,de 360.000 até 1.500.000,de 10 até 50,0,-
563,00.540.982/0001-04,de 360.000 até 1.500.000,de 10 até 50,?,
564,05.346.462/0001-89,de 30.000.000 até 100.000.000,de 100 até 500,0,-
565,07.365.641/0001-99,de 10.000.000 até 30.000.000,de 100 até 500,0,-
566,00.568.490/0001-27,de 4.800.000 até 10.000.000,de 50 até 100,0,-
567,14.069.148/0001-97,de 81.000 até 360.000,de 10 até 50,2,"41.054,39"
568,02.376.612/0001-09,de 360.000 até 1.500.000,de 10 até 50,1,"590.505,59"
569,07.048.995/0001-00,de 81.000 até 360.000,de 10 até 50,60,"1.671.019,24"
570,14.178.395/0001-21,de 4.800.000 até 10.000.000,de 50 até 100,2,"20.920,90"
571,06.637.075/0001-64,de 4.800.000 até 10.000.000,de 50 até 100,0,-
572,06.935.509/0001-02,de 1.500.000 até 4.800.000,de 10 até 50,0,-
573,04.120.251/0001-60,de 10.000.000 até 30.000.000,de 50 até 100,0,-
574,08.662.965/0001-51,de 1.500.000 até 4.800.000,de 50 até 100,0,-
575,09.652.146/0001-96,de 500.000.000 até 1.000.000.000,de 50 até 100,0,-
576,07.795.539/0001-23,de 0 até 81.000,de 100 até 500,0,-
577,02.576.052/0001-36,,,,
578,12.058.523/0001-78,de 1.500.000 até 4.800.000,de 10 até 50,13,"1.158.597,62"
579,82.645.862/0001-36,de 100.000.000 até 300.000.000,de 100 até 500,0,-
580,75.190.983/0001-75,de 30.000.000 até 100.000.000,de 100 até 500,0,-
581,93.002.913/0001-28,de 1.500.000 até 4.800.000,de 10 até 50,25,"2.682.574,47"
582,80.662.315/0001-33,de 30.000.000 até 100.000.000,de 100 até 500,0,-
583,85.782.878/0001-89,acima de 1.000.000.000,de 100 até 500,3,"48.750,00"
584,89.735.070/0001-00,de 100.000.000 até 300.000.000,de 100 até 500,0,-
585,02.279.324/0001-36,acima de 1.000.000.000,de 100 até 500,0,-
586,75.801.936/0001-10,de 30.000.000 até 100.000.000,de 100 até 500,2,"1.238,00"
587,90.455.866/0001-80,de 500.000.000 até 1.000.000.000,de 100 até 500,135,"18.906.912,75"
588,79.846.465/0001-18,de 100.000.000 até 300.000.000,de 50 até 100,0,-
589,93.731.602/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,0,-
590,00.130.132/0001-38,de 100.000.000 até 300.000.000,de 100 até 500,0,-
591,76.547.397/0001-06,de 0 até 81.000,de 100 até 500,18,"5.537.429,52"
592,89.576.573/0001-71,de 10.000.000 até 30.000.000,de 100 até 500,3,"222.911,86"
593,91.938.712/0001-01,de 100.000.000 até 300.000.000,de 100 até 500,2366,"34.530.132,50"
594,76.329.762/0001-06,de 30.000.000 até 100.000.000,de 100 até 500,67,"520.014,48"
595,00.448.591/0001-64,de 4.800.000 até 10.000.000,de 50 até 100,0,-
596,83.519.272/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,?,
597,03.809.754/0001-85,de 10.000.000 até 30.000.000,de 50 até 100,680,"1.874.115,68"
598,86.046.562/0001-91,de 30.000.000 até 100.000.000,de 100 até 500,0,-
599,01.445.448/0001-81,de 10.000.000 até 30.000.000,de 50 até 100,583,"1.233.609,68"
600,91.675.868/0001-47,de 1.500.000 até 4.800.000,de 100 até 500,134,"4.182.047,96"
601,91.013.698/0001-35,de 100.000.000 até 300.000.000,de 100 até 500,687,"42.937.886,53"
602,92.693.928/0001-17,de 0 até 81.000,de 10 até 50,1220,"5.207.662,80"
603,91.120.907/0001-40,de 1.500.000 até 4.800.000,de 50 até 100,0,-
604,02.538.436/0001-64,de 10.000.000 até 30.000.000,de 100 até 500,4,"7.051,03"
605,78.644.424/0001-86,de 30.000.000 até 100.000.000,acima de 500,2,"231.145,34"
606,88.613.856/0001-83,de 100.000.000 até 300.000.000,de 100 até 500,0,-
607,84.429.737/0001-14,de 10.000.000 até 30.000.000,de 100 até 500,9,"167.818,75"
608,79.142.139/0001-20,de 30.000.000 até 100.000.000,de 100 até 500,91,"314.077,16"
609,91.271.718/0001-78,de 10.000.000 até 30.000.000,acima de 500,132,"3.000.301,22"
610,88.303.375/0001-71,de 100.000.000 até 300.000.000,de 100 até 500,0,-
611,84.431.154/0001-28,de 100.000.000 até 300.000.000,acima de 500,12,"4.384.452,53"
612,05.623.823/0001-97,de 1.500.000 até 4.800.000,de 10 até 50,0,-
613,91.672.105/0001-42,de 1.500.000 até 4.800.000,de 50 até 100,7,"193.463,47"
614,89.790.356/0001-80,de 100.000.000 até 300.000.000,de 100 até 500,1,"87,70"
615,88.665.005/0001-84,de 10.000.000 até 30.000.000,de 50 até 100,21,"8.192.341,04"
616,76.904.192/0001-22,de 10.000.000 até 30.000.000,de 100 até 500,56,"3.669.577,31"
617,83.238.832/0001-78,de 100.000.000 até 300.000.000,de 100 até 500,0,-
618,03.808.491/0001-90,de 10.000.000 até 30.000.000,de 50 até 100,11,"1.897.917,73"
619,01.442.702/0001-98,de 30.000.000 até 100.000.000,de 100 até 500,0,-
620,00.892.462/0001-60,de 30.000.000 até 100.000.000,de 100 até 500,0,-
621,91.192.294/0001-56,de 4.800.000 até 10.000.000,de 50 até 100,35,"1.584.586,01"
622,86.047.362/0001-53,de 10.000.000 até 30.000.000,de 100 até 500,0,-
623,05.926.022/0001-09,de 4.800.000 até 10.000.000,de 50 até 100,768,"1.869.602,26"
624,78.611.928/0001-08,de 4.800.000 até 10.000.000,de 100 até 500,0,-
625,80.976.053/0001-81,de 10.000.000 até 30.000.000,de 50 até 100,0,-
626,01.408.635/0001-95,de 1.500.000 até 4.800.000,de 10 até 50,0,-
627,68.736.073/0001-80,de 1.500.000 até 4.800.000,de 100 até 500,265,"1.799.605,65"
628,88.176.995/0001-97,de 30.000.000 até 100.000.000,de 100 até 500,0,-
629,79.902.888/0001-08,de 30.000.000 até 100.000.000,de 50 até 100,0,-
630,03.032.577/0001-73,de 1.500.000 até 4.800.000,de 10 até 50,0,-
631,79.427.589/0001-69,de 30.000.000 até 100.000.000,de 100 até 500,153,"2.359.438,98"
632,77.965.077/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,0,-
633,03.579.464/0001-92,de 10.000.000 até 30.000.000,de 50 até 100,?,
634,80.550.452/0001-86,de 100.000.000 até 300.000.000,de 100 até 500,0,-
635,01.978.934/0001-65,de 81.000 até 360.000,de 10 até 50,46,"2.243.486,79"
636,85.373.793/0001-47,de 1.500.000 até 4.800.000,de 10 até 50,45,"1.404.514,34"
637,79.906.426/0001-69,de 4.800.000 até 10.000.000,de 50 até 100,0,-
638,90.463.704/0001-93,de 10.000.000 até 30.000.000,de 50 até 100,0,-
639,02.473.096/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,0,-
640,80.382.054/0001-06,de 10.000.000 até 30.000.000,de 100 até 500,70,"891.697,78"
641,91.733.105/0001-05,de 1.500.000 até 4.800.000,de 10 até 50,176,"1.899.111,09"
642,75.853.168/0001-49,de 100.000.000 até 300.000.000,de 100 até 500,0,-
643,02.441.272/0001-52,de 10.000.000 até 30.000.000,de 50 até 100,64,"9.546.576,94"
644,05.036.544/0001-27,de 1.500.000 até 4.800.000,de 10 até 50,88,"3.193.335,65"
645,82.099.029/0001-37,de 10.000.000 até 30.000.000,de 50 até 100,8,"695.462,46"
