,txt_file,result
189,SERASA-R1921623.txt,1
190,SERASA-R1308945.txt,1
191,SERASA-R2165823.txt,1
192,SERASA-R2097741.txt,0
193,SERASA-R1340974.txt,1
194,SERASA-R9554210.txt,1
195,SERASA-R1921342.txt,0
196,SERASA-R2210972.txt,0
197,SERASA-R12367951.txt,1
198,SERASA-R1092696.txt,0
199,SERASA-R871992.txt,1
200,SERASA-R1471149.txt,1
201,SERASA-R179218.txt,1
202,SERASA-R766413.txt,1
203,SERASA-R12306113.txt,1
204,SERASA-R1740263.txt,1
205,SERASA-R1974353.txt,1
206,SERASA-R1378992.txt,0
207,SERASA-R12368402.txt,0
208,SERASA-R12211812.txt,1
209,SERASA-R72024.txt,0
210,SERASA-R2230371.txt,1
211,SERASA-R12403481.txt,1
212,SERASA-R14661528.txt,1
213,SERASA-R12367541.txt,0
214,SERASA-R2067762.txt,0
215,SERASA-R5580119.txt,0
216,SERASA-R976013.txt,0
217,SERASA-R1459757.txt,1
218,SERASA-R17833411.txt,0
219,SERASA-R12211362.txt,1
220,SERASA-R1858132.txt,0
221,SERASA-R2234233.txt,1
222,SERASA-R1737253.txt,0
223,SERASA-R1052774.txt,1
224,SERASA-R997002.txt,0
225,SERASA-R1928703.txt,1
226,SERASA-R12277381.txt,1
227,SERASA-R2282401.txt,0
228,SERASA-R12286431.txt,1
229,SERASA-R1072515.txt,0
230,SERASA-R1676863.txt,0
231,SERASA-R12177942.txt,1
232,SERASA-R1962423.txt,0
233,SERASA-R2035583.txt,1
234,SERASA-R12193562.txt,1
235,SERASA-R1947702.txt,0
236,SERASA-R4348411.txt,1
237,SERASA-R1641171.txt,1
238,SERASA-R12286721.txt,1
239,SERASA-R12165393.txt,1
240,SERASA-R1297547.txt,0
241,SERASA-R1430234.txt,1
242,SERASA-R1186007.txt,1
243,SERASA-R667795.txt,1
244,SERASA-R826532.txt,0
245,SERASA-R1457858.txt,0
246,SERASA-R451405.txt,1
247,SERASA-R1763523.txt,0
248,SERASA-R1546119.txt,1
249,SERASA-R2014674.txt,1
250,SERASA-R12424481.txt,1
251,SERASA-R2233351.txt,1
252,SERASA-R1447231.txt,0
253,SERASA-R2015044.txt,0
254,SERASA-R1429304.txt,1
255,SERASA-R663352.txt,0
256,SERASA-R1790464.txt,0
257,SERASA-R12280211.txt,1
258,SERASA-R12371721.txt,0
259,SERASA-R2242893.txt,1
260,SERASA-R1298573.txt,1
261,SERASA-R1266704.txt,1
262,SERASA-R1306815.txt,0
263,SERASA-R12367551.txt,1
264,SERASA-R2295633.txt,0
265,SERASA-R12403281.txt,1
266,SERASA-R2297151.txt,0
267,SERASA-R12305351.txt,1
268,SERASA-R12347681.txt,0
269,SERASA-R13585713.txt,0
270,SERASA-R1985555.txt,1
271,SERASA-R2287332.txt,0
272,SERASA-R12367561.txt,1
273,SERASA-R12301391.txt,1
274,SERASA-R2025017.txt,0
275,SERASA-R8757329.txt,1
276,SERASA-R12366803.txt,0
277,SERASA-R12159211.txt,1
278,SERASA-R1791792.txt,0
279,SERASA-R12322321.txt,1
280,SERASA-R1760794.txt,1
281,SERASA-R1667596.txt,1
282,SERASA-R1281905.txt,1
283,SERASA-R2030303.txt,0
284,SERASA-R1770437.txt,1
285,SERASA-R12367571.txt,0
286,SERASA-R12430991.txt,1
287,SERASA-R2282432.txt,0
288,SERASA-R1774214.txt,1
289,SERASA-R1099459.txt,1
290,SERASA-R12387061.txt,1
291,SERASA-R12302481.txt,1
292,SERASA-R2266762.txt,0
293,SERASA-R1795636.txt,1
294,SERASA-R769474.txt,1
295,SERASA-R1431544.txt,1
296,SERASA-R2298413.txt,0
297,SERASA-R12285811.txt,1
298,SERASA-R2067291.txt,0
299,SERASA-R1788283.txt,1
300,SERASA-R1408454.txt,0
301,SERASA-R11425010.txt,1
302,SERASA-R1382563.txt,1
303,SERASA-R12165811.txt,1
304,SERASA-R1680064.txt,0
305,SERASA-R12299081.txt,1
306,SERASA-R2010103.txt,0
